Symbol,Strike,Last,% From Last,Bid,Midpoint,Ask,Change,%Chg,IV,Volume,Open Int,Type,DTE,Exp Date,Time,Avg IV
SPY|20210115|322.00C,322,17.46,+3.13%,16.25,16.59,16.92,1.52,+9.54%,22.61%,22,2065,Call,197,01/15/21,07/02/20,0.00%
SPY|20210115|323.00C,323,16.84,+3.45%,15.7,16.03,16.36,3.32,+24.56%,22.37%,40,1914,Call,197,01/15/21,07/02/20,0.00%
SPY|20210115|324.00C,324,16.03,+3.77%,15.15,15.48,15.81,1.08,+7.22%,21.92%,63,1106,Call,197,01/15/21,07/02/20,0.00%
SPY|20210115|325.00C,325,14.91,+4.09%,14.64,14.96,15.27,0.71,+5.00%,21.12%,187,5697,Call,197,01/15/21,07/02/20,0.00%
SPY|20210115|326.00C,326,14.6,+4.41%,14.09,14.42,14.74,2.11,+16.89%,21.19%,133,2409,Call,197,01/15/21,07/02/20,0.00%
SPY|20210115|327.00C,327,13.31,+4.73%,13.57,13.89,14.21,2.25,+20.34%,20.82%,1,2028,Call,197,01/15/21,07/01/20,0.00%
SPY|20210115|328.00C,328,13.85,+5.05%,13.06,13.38,13.7,3.24,+30.54%,21.18%,20,1102,Call,197,01/15/21,07/02/20,0.00%
SPY|20210115|329.00C,329,12.61,+5.37%,12.56,12.88,13.19,0.51,+4.21%,20.20%,65,1046,Call,197,01/15/21,07/02/20,0.00%
SPY|20210115|330.00C,330,12.32,+5.69%,12.07,12.38,12.69,0.48,+4.05%,20.26%,246,11312,Call,197,01/15/21,07/02/20,0.00%
SPY|20210115|331.00C,331,12.05,+6.01%,11.59,11.9,12.2,3.21,+36.31%,20.34%,44,1257,Call,197,01/15/21,07/02/20,0.00%
SPY|20210115|332.00C,332,11.06,+6.33%,11.11,11.42,11.73,1.01,+10.05%,19.59%,5,1561,Call,197,01/15/21,07/02/20,0.00%
SPY|20210115|333.00C,333,10.58,+6.65%,10.65,10.96,11.26,0.38,+3.73%,19.41%,10,1305,Call,197,01/15/21,07/02/20,0.00%
SPY|20210115|334.00C,334,9.92,+6.97%,10.2,10.5,10.8,1.14,+12.98%,19.68%,3,661,Call,197,01/15/21,07/01/20,0.00%
SPY|20210115|335.00C,335,10.54,+7.29%,9.76,10.06,10.35,1.23,+13.21%,20.08%,12,3322,Call,197,01/15/21,07/02/20,0.00%
SPY|20210115|336.00C,336,10.17,+7.61%,9.33,9.63,9.92,2.41,+31.06%,20.01%,68,873,Call,197,01/15/21,07/02/20,0.00%
SPY|20210115|337.00C,337,9.35,+7.93%,8.91,9.2,9.49,1.8,+23.84%,19.38%,26,797,Call,197,01/15/21,07/02/20,0.00%
SPY|20210115|338.00C,338,8.85,+8.25%,8.5,8.69,8.88,0.57,+6.88%,19.13%,2,2151,Call,197,01/15/21,07/02/20,0.00%
SPY|20210115|339.00C,339,6,+8.57%,8.1,8.39,8.68,-1.26,-17.36%,18.90%,10,362,Call,197,01/15/21,06/26/20,0.00%
SPY|20210115|340.00C,340,7.8,+8.89%,7.72,8,8.28,0.1,+1.30%,18.50%,103,13738,Call,197,01/15/21,07/02/20,0.00%
SPY|20210115|341.00C,341,7.75,+9.21%,7.35,7.63,7.9,1.72,+28.52%,18.76%,1,866,Call,197,01/15/21,07/02/20,0.00%
SPY|20210115|342.00C,342,7.2,+9.53%,6.99,7.26,7.53,0.15,+2.13%,18.38%,6,1125,Call,197,01/15/21,07/02/20,0.00%
SPY|20210115|343.00C,343,5.79,+9.85%,6.64,6.91,7.18,0.79,+15.80%,18.32%,94,909,Call,197,01/15/21,06/30/20,0.00%
SPY|20210115|344.00C,344,5.31,+10.18%,6.3,6.56,6.83,0.52,+10.86%,18.17%,6,323,Call,197,01/15/21,06/30/20,0.00%
SPY|20210115|345.00C,345,6.05,+10.50%,6.17,6.34,6.5,0.1,+1.68%,17.79%,37,5803,Call,197,01/15/21,07/02/20,0.00%
SPY|20210115|346.00C,346,6.56,+10.82%,5.67,5.93,6.18,2.16,+49.09%,18.76%,33,941,Call,197,01/15/21,07/02/20,0.00%
SPY|20210115|347.00C,347,6.09,+11.14%,5.37,5.63,5.88,1.64,+36.85%,18.42%,3,374,Call,197,01/15/21,07/02/20,0.00%
SPY|20210115|348.00C,348,4.15,+11.46%,5.09,5.34,5.58,0.18,+4.53%,17.67%,1,316,Call,197,01/15/21,06/30/20,0.00%
SPY|20210115|349.00C,349,5.61,+11.78%,4.82,5.06,5.3,-0.81,-12.62%,18.33%,60,498,Call,197,01/15/21,07/02/20,0.00%
SPY|20210115|350.00C,350,4.56,+12.10%,4.55,4.78,5,0.24,+5.56%,17.09%,228,14940,Call,197,01/15/21,07/02/20,0.00%
SPY|20210115|351.00C,351,4.66,+12.42%,4.3,4.53,4.76,0.91,+24.27%,17.51%,816,250,Call,197,01/15/21,07/02/20,0.00%
SPY|20210115|352.00C,352,4.35,+12.74%,4.06,4.29,4.51,0.89,+25.72%,17.31%,399,323,Call,197,01/15/21,07/02/20,0.00%
SPY|20210115|353.00C,353,3.67,+13.06%,3.84,4.06,4.28,0.47,+14.69%,17.11%,1,152,Call,197,01/15/21,07/01/20,0.00%
SPY|20210115|354.00C,354,2.84,+13.38%,3.63,3.84,4.06,-0.03,-1.05%,17.03%,1,265,Call,197,01/15/21,06/29/20,0.00%
SPY|20210115|355.00C,355,3.68,+13.70%,3.42,3.63,3.84,0.48,+15.00%,17.01%,38,604,Call,197,01/15/21,07/02/20,0.00%
SPY|20210115|356.00C,356,3.52,+14.02%,3.23,3.44,3.64,0.55,+18.52%,16.99%,2,425,Call,197,01/15/21,07/02/20,0.00%
SPY|20210115|357.00C,357,3.22,+14.34%,3.05,3.22,3.4,0.2,+6.62%,16.72%,2,472,Call,197,01/15/21,07/02/20,0.00%
SPY|20210115|358.00C,358,2.72,+14.66%,2.88,3.08,3.27,-1.15,-29.72%,16.70%,6,454,Call,197,01/15/21,06/30/20,0.00%
SPY|20210115|359.00C,359,2.55,+14.98%,2.72,2.92,3.11,0.53,+26.24%,16.64%,2,210,Call,197,01/15/21,07/01/20,0.00%
SPY|20210115|360.00C,360,2.69,+15.30%,2.57,2.76,2.94,0.09,+3.46%,16.45%,135,9137,Call,197,01/15/21,07/02/20,0.00%
SPY|20210115|361.00C,361,2.07,+15.62%,2.43,2.61,2.79,-1.34,-39.30%,16.52%,6,797,Call,197,01/15/21,06/26/20,0.00%
SPY|20210115|362.00C,362,2.53,+15.94%,2.29,2.47,2.65,0.69,+37.50%,16.59%,2,1088,Call,197,01/15/21,07/02/20,0.00%
SPY|20210115|363.00C,363,2.4,+16.26%,2.17,2.34,2.52,0.36,+17.65%,16.55%,20,246,Call,197,01/15/21,07/02/20,0.00%
SPY|20210115|364.00C,364,1.95,+16.58%,2.05,2.22,2.4,0.36,+22.64%,16.40%,1,400,Call,197,01/15/21,07/01/20,0.00%
SPY|20210115|365.00C,365,2.04,+16.90%,1.94,2.11,2.28,0.24,+13.33%,16.21%,8,18035,Call,197,01/15/21,07/02/20,0.00%
SPY|20210115|366.00C,366,2.05,+17.22%,1.84,2.01,2.17,0.15,+7.89%,16.45%,4,189,Call,197,01/15/21,07/02/20,0.00%
SPY|20210115|367.00C,367,2.05,+17.54%,1.74,1.9,2.07,0.49,+31.41%,16.65%,5,358,Call,197,01/15/21,07/02/20,0.00%
SPY|20210115|368.00C,368,1.89,+17.86%,1.65,1.81,1.97,0.25,+15.24%,16.49%,2,3527,Call,197,01/15/21,07/02/20,0.00%
SPY|20210115|369.00C,369,1.74,+18.18%,1.56,1.72,1.88,0.19,+12.26%,16.34%,14,133,Call,197,01/15/21,07/02/20,0.00%
SPY|20210115|370.00C,370,1.71,+18.50%,1.48,1.64,1.79,0.23,+15.54%,16.46%,31,2198,Call,197,01/15/21,07/02/20,0.00%
SPY|20210115|371.00C,371,1.45,+18.82%,1.4,1.56,1.71,0.31,+27.19%,16.27%,2,722,Call,197,01/15/21,07/01/20,0.00%
SPY|20210115|375.00C,375,1.31,+20.10%,1.15,1.29,1.42,0.12,+10.08%,16.35%,509,2403,Call,197,01/15/21,07/02/20,0.00%
SPY|20210115|380.00C,380,1.03,+21.71%,0.99,1.03,1.06,0.04,+4.04%,16.37%,107,2760,Call,197,01/15/21,07/02/20,0.00%
SPY|20210115|385.00C,385,0.86,+23.31%,0.79,0.82,0.85,0.1,+13.16%,16.61%,2,1096,Call,197,01/15/21,07/02/20,0.00%
SPY|20210115|390.00C,390,0.72,+24.91%,0.64,0.68,0.71,0.09,+14.29%,16.84%,14,5969,Call,197,01/15/21,07/02/20,0.00%
SPY|20210115|395.00C,395,0.6,+26.51%,0.52,0.55,0.59,0.06,+11.11%,17.05%,2,817,Call,197,01/15/21,07/02/20,0.00%
SPY|20210115|400.00C,400,0.46,+28.11%,0.45,0.46,0.47,0.01,+2.22%,17.01%,1211,14828,Call,197,01/15/21,07/02/20,0.00%
SPY|20210115|405.00C,405,0.44,+29.71%,0.36,0.4,0.43,0.07,+18.92%,17.59%,208,2129,Call,197,01/15/21,07/02/20,0.00%
SPY|20210115|410.00C,410,0.36,+31.31%,0.33,0.35,0.37,0.02,+5.88%,17.72%,88,1327,Call,197,01/15/21,07/02/20,0.00%
SPY|20210115|415.00C,415,0.29,+32.91%,0.26,0.29,0.32,-0.01,-3.33%,17.81%,30,2310,Call,197,01/15/21,07/02/20,0.00%
SPY|20210115|420.00C,420,0.25,+34.52%,0.24,0.25,0.25,-0.03,-10.71%,18.07%,292,45522,Call,197,01/15/21,07/02/20,0.00%
SPY|20210115|425.00C,425,0.23,+36.12%,0.19,0.22,0.25,0.01,+4.55%,18.47%,4,2500,Call,197,01/15/21,07/02/20,0.00%
SPY|20210115|430.00C,430,0.21,+37.72%,0.17,0.2,0.22,0.01,+5.00%,18.85%,8,131,Call,197,01/15/21,07/02/20,0.00%
SPY|20210115|435.00C,435,0.19,+39.32%,0.14,0.17,0.2,0,unch,19.18%,43,270,Call,197,01/15/21,07/02/20,0.00%
SPY|20210115|440.00C,440,0.15,+40.92%,0.12,0.15,0.18,0.01,+7.14%,19.18%,47,2174,Call,197,01/15/21,07/02/20,0.00%
SPY|20210115|445.00C,445,0.15,+42.52%,0.11,0.14,0.16,0.03,+25.00%,19.73%,12,139,Call,197,01/15/21,07/02/20,0.00%
SPY|20210115|450.00C,450,0.13,+44.12%,0.09,0.12,0.15,0.01,+8.33%,19.93%,14,3770,Call,197,01/15/21,07/02/20,0.00%
SPY|20210115|455.00C,455,0.12,+45.73%,0.08,0.11,0.14,0.03,+33.33%,20.27%,2,278,Call,197,01/15/21,07/02/20,0.00%
SPY|20210115|460.00C,460,0.11,+47.33%,0.07,0.1,0.12,0.01,+10.00%,20.58%,72,1279,Call,197,01/15/21,07/02/20,0.00%
SPY|20210115|465.00C,465,0.09,+48.93%,0.06,0.08,0.11,0.02,+28.57%,20.49%,8,142,Call,197,01/15/21,06/30/20,0.00%
SPY|20210115|470.00C,470,0.07,+50.53%,0.05,0.08,0.11,-0.01,-12.50%,20.85%,6,198,Call,197,01/15/21,06/30/20,0.00%
SPY|20210115|475.00C,475,0.07,+52.13%,0.04,0.07,0.1,-0.02,-22.22%,21.03%,30,30,Call,197,01/15/21,06/26/20,0.00%
SPY|20210115|480.00C,480,0.06,+53.73%,0.03,0.06,0.09,-0.02,-25.00%,21.16%,1,104,Call,197,01/15/21,06/30/20,0.00%
SPY|20210115|485.00C,485,0.06,+55.33%,0.03,0.06,0.08,0,unch,21.43%,1,2,Call,197,01/15/21,06/30/20,0.00%
SPY|20210115|490.00C,490,0.03,+56.94%,0.02,0.05,0.08,-0.02,-40.00%,21.67%,1,23,Call,197,01/15/21,07/01/20,0.00%
SPY|20210115|495.00C,495,0.04,+58.54%,0.02,0.05,0.07,0,unch,21.89%,1,1372,Call,197,01/15/21,07/01/20,0.00%
SPY|20210115|500.00C,500,0.04,+60.14%,0.03,0.05,0.07,0.01,+33.33%,22.54%,1,2,Call,197,01/15/21,07/01/20,0.00%
SPY|20210115|505.00C,505,0.03,+61.74%,0.01,0.03,0.06,-0.01,-25.00%,22.22%,3,178,Call,197,01/15/21,06/30/20,0.00%
SPY|20210115|510.00C,510,0.06,+63.34%,0,0.03,0.06,0.01,+20.00%,0.00%,3,198,Call,197,01/15/21,06/30/20,0.00%
SPY|20210115|515.00C,515,0.02,+64.94%,0.02,0.04,0.06,0,unch,23.31%,5,41,Call,197,01/15/21,07/01/20,0.00%
SPY|20210115|520.00C,520,0.02,+66.54%,0,0.03,0.05,-0.02,-50.00%,0.00%,5,35,Call,197,01/15/21,07/01/20,0.00%
SPY|20210115|525.00C,525,0.03,+68.15%,0,0.03,0.05,-0.01,-25.00%,0.00%,5,81,Call,197,01/15/21,06/25/20,0.00%
SPY|20210115|530.00C,530,0.05,+69.75%,0,0.03,0.05,0.01,+25.00%,0.00%,6,81,Call,197,01/15/21,06/25/20,0.00%
SPY|20210115|535.00C,535,0.01,+71.35%,0,0.03,0.05,-0.02,-66.67%,0.00%,1,1,Call,197,01/15/21,06/30/20,0.00%
SPY|20210115|540.00C,540,0,+72.95%,0,0.02,0.04,0,unch,0.00%,0,0,Call,197,01/15/21,N/A,0.00%
SPY|20210115|545.00C,545,0.03,+74.55%,0,0.02,0.04,0.03,unch,0.00%,1,1,Call,197,01/15/21,06/25/20,0.00%
SPY|20210115|550.00C,550,0.05,+76.15%,0,0.02,0.04,0.02,+66.67%,0.00%,45,93,Call,197,01/15/21,06/29/20,0.00%
SPY|20210115|555.00C,555,0.04,+77.75%,0,0.02,0.04,0,unch,0.00%,11,133,Call,197,01/15/21,06/29/20,0.00%
SPY|20210115|25.00P,25,0.04,-91.99%,0.03,0.04,0.04,0.01,+33.33%,119.34%,72,15455,Put,197,01/15/21,07/02/20,0.00%
SPY|20210115|30.00P,30,0.04,-90.39%,0.03,0.04,0.05,0,unch,110.46%,5,1905,Put,197,01/15/21,07/01/20,0.00%
SPY|20210115|35.00P,35,0.05,-88.79%,0.02,0.04,0.06,0,unch,103.04%,8,368,Put,197,01/15/21,06/30/20,0.00%
SPY|20210115|40.00P,40,0.06,-87.19%,0.04,0.06,0.08,0.01,+20.00%,100.45%,1,342,Put,197,01/15/21,07/01/20,0.00%
SPY|20210115|45.00P,45,0.08,-85.59%,0.06,0.08,0.09,0,unch,97.40%,7,1883,Put,197,01/15/21,07/02/20,0.00%
SPY|20210115|50.00P,50,0.13,-83.99%,0.11,0.11,0.12,-0.01,-7.14%,96.95%,1,6442,Put,197,01/15/21,07/02/20,0.00%
SPY|20210115|55.00P,55,0.14,-82.38%,0.09,0.12,0.14,0,unch,92.68%,3,1412,Put,197,01/15/21,07/02/20,0.00%
SPY|20210115|60.00P,60,0.12,-80.78%,0.11,0.14,0.16,-0.02,-14.29%,86.61%,2,1592,Put,197,01/15/21,07/02/20,0.00%
SPY|20210115|65.00P,65,0.2,-79.18%,0.13,0.16,0.18,0.02,+11.11%,84.85%,19,2294,Put,197,01/15/21,06/26/20,0.00%
SPY|20210115|70.00P,70,0.19,-77.58%,0.17,0.19,0.2,-0.01,-5.00%,82.85%,2,6239,Put,197,01/15/21,07/02/20,0.00%
SPY|20210115|75.00P,75,0.16,-75.98%,0.16,0.19,0.22,-0.11,-40.74%,77.57%,160,2115,Put,197,01/15/21,07/02/20,0.00%
SPY|20210115|80.00P,80,0.25,-74.38%,0.19,0.22,0.24,0.02,+8.70%,78.21%,2000,1136,Put,197,01/15/21,07/02/20,0.00%
SPY|20210115|85.00P,85,0.27,-72.78%,0.21,0.24,0.26,-0.04,-12.90%,75.58%,3,1094,Put,197,01/15/21,07/02/20,0.00%
SPY|20210115|90.00P,90,0.28,-71.18%,0.24,0.27,0.29,-0.03,-9.68%,72.73%,20,926,Put,197,01/15/21,07/02/20,0.00%
SPY|20210115|95.00P,95,0.38,-69.57%,0.26,0.29,0.32,0.01,+2.70%,70.03%,1,672,Put,197,01/15/21,07/01/20,0.00%
SPY|20210115|100.00P,100,0.34,-67.97%,0.32,0.33,0.35,-0.05,-12.82%,68.57%,662,17291,Put,197,01/15/21,07/02/20,0.00%
SPY|20210115|105.00P,105,0.4,-66.37%,0.35,0.37,0.39,-0.02,-4.76%,67.26%,7,851,Put,197,01/15/21,07/02/20,0.00%
SPY|20210115|110.00P,110,0.42,-64.77%,0.36,0.39,0.42,-0.04,-8.70%,65.00%,1,1328,Put,197,01/15/21,07/02/20,0.00%
SPY|20210115|115.00P,115,0.49,-63.17%,0.4,0.43,0.46,-0.13,-20.97%,62.62%,1,714,Put,197,01/15/21,07/01/20,0.00%
SPY|20210115|120.00P,120,0.52,-61.57%,0.45,0.48,0.51,-0.03,-5.45%,61.80%,7,1536,Put,197,01/15/21,07/02/20,0.00%
SPY|20210115|125.00P,125,0.64,-59.97%,0.49,0.53,0.56,-0.02,-3.03%,59.45%,21,2870,Put,197,01/15/21,07/01/20,0.00%
SPY|20210115|130.00P,130,0.59,-58.36%,0.55,0.58,0.61,-0.11,-15.71%,58.11%,1,1108,Put,197,01/15/21,07/02/20,0.00%
SPY|20210115|135.00P,135,0.61,-56.76%,0.6,0.64,0.67,-0.08,-11.59%,56.10%,2,649,Put,197,01/15/21,07/02/20,0.00%
SPY|20210115|140.00P,140,0.69,-55.16%,0.67,0.7,0.73,-0.25,-26.60%,54.93%,3,1894,Put,197,01/15/21,07/02/20,0.00%
SPY|20210115|145.00P,145,0.93,-53.56%,0.74,0.77,0.8,-0.13,-12.26%,53.70%,94,1922,Put,197,01/15/21,06/30/20,0.00%
SPY|20210115|150.00P,150,0.82,-51.96%,0.82,0.85,0.87,-0.14,-14.58%,52.10%,354,16040,Put,197,01/15/21,07/02/20,0.00%
SPY|20210115|155.00P,155,0.91,-50.36%,0.9,0.93,0.96,-0.12,-11.65%,50.91%,7,5660,Put,197,01/15/21,07/02/20,0.00%
SPY|20210115|160.00P,160,1.02,-48.76%,1,1.03,1.06,-0.11,-9.73%,49.84%,60,5589,Put,197,01/15/21,07/02/20,0.00%
SPY|20210115|165.00P,165,1.16,-47.15%,1.1,1.14,1.17,-0.09,-7.20%,48.94%,1,2938,Put,197,01/15/21,07/02/20,0.00%
SPY|20210115|170.00P,170,1.24,-45.55%,1.23,1.27,1.3,-0.23,-15.65%,47.53%,14,4673,Put,197,01/15/21,07/02/20,0.00%
SPY|20210115|175.00P,175,1.41,-43.95%,1.31,1.44,1.57,-0.1,-6.62%,46.70%,11,7553,Put,197,01/15/21,07/02/20,0.00%
SPY|20210115|180.00P,180,1.59,-42.35%,1.48,1.61,1.74,-0.24,-13.11%,45.83%,30,3756,Put,197,01/15/21,07/02/20,0.00%
SPY|20210115|185.00P,185,3.12,-40.75%,1.68,1.81,1.94,0.82,+35.65%,45.09%,1,3694,Put,197,01/15/21,06/24/20,0.00%
SPY|20210115|190.00P,190,1.95,-39.15%,1.93,2.06,2.18,-0.36,-15.58%,43.85%,62,5897,Put,197,01/15/21,07/02/20,0.00%
SPY|20210115|191.00P,191,2.71,-38.83%,1.95,2.09,2.23,-0.56,-17.13%,44.13%,2,2054,Put,197,01/15/21,06/30/20,0.00%
SPY|20210115|192.00P,192,2.2,-38.51%,2,2.14,2.28,-0.7,-24.14%,44.24%,1,1084,Put,197,01/15/21,07/02/20,0.00%
SPY|20210115|193.00P,193,4.07,-38.19%,2.06,2.2,2.33,4.07,unch,43.83%,14,4573,Put,197,01/15/21,06/15/20,0.00%
SPY|20210115|194.00P,194,3.02,-37.87%,2.11,2.25,2.39,-1.12,-27.05%,43.69%,1,957,Put,197,01/15/21,06/30/20,0.00%
SPY|20210115|195.00P,195,2.18,-37.55%,2.16,2.3,2.44,-0.76,-25.85%,42.99%,214,6392,Put,197,01/15/21,07/02/20,0.00%
SPY|20210115|196.00P,196,2.31,-37.23%,2.22,2.36,2.5,-1.09,-32.06%,43.17%,8,3823,Put,197,01/15/21,07/02/20,0.00%
SPY|20210115|197.00P,197,3.63,-36.91%,2.27,2.42,2.56,-0.25,-6.44%,43.23%,1,429,Put,197,01/15/21,06/25/20,0.00%
SPY|20210115|198.00P,198,4.59,-36.59%,2.33,2.48,2.62,4.59,unch,43.09%,7,501,Put,197,01/15/21,06/15/20,0.00%
SPY|20210115|199.00P,199,2.48,-36.26%,2.39,2.54,2.68,-1.38,-35.75%,42.72%,1,497,Put,197,01/15/21,07/02/20,0.00%
SPY|20210115|200.00P,200,2.75,-35.94%,2.55,2.65,2.74,-0.13,-4.51%,43.39%,1710,40386,Put,197,01/15/21,07/02/20,0.00%
SPY|20210115|201.00P,201,4.26,-35.62%,2.51,2.66,2.81,0.41,+10.65%,42.66%,3,571,Put,197,01/15/21,06/17/20,0.00%
SPY|20210115|202.00P,202,3.55,-35.30%,2.58,2.73,2.88,-0.8,-18.39%,42.54%,5,335,Put,197,01/15/21,06/23/20,0.00%
SPY|20210115|203.00P,203,4.46,-34.98%,2.64,2.79,2.94,0.06,+1.36%,42.37%,1,1516,Put,197,01/15/21,06/24/20,0.00%
SPY|20210115|204.00P,204,3.97,-34.66%,2.71,2.86,3.01,-0.69,-14.81%,42.24%,1,705,Put,197,01/15/21,06/29/20,0.00%
SPY|20210115|205.00P,205,2.86,-34.34%,2.77,2.93,3.08,-0.39,-12.00%,41.86%,34,1914,Put,197,01/15/21,07/02/20,0.00%
SPY|20210115|206.00P,206,4.7,-34.02%,2.84,3,3.16,-0.72,-13.28%,41.97%,1,522,Put,197,01/15/21,06/18/20,0.00%
SPY|20210115|207.00P,207,5.48,-33.70%,2.91,3.07,3.23,5.48,unch,41.82%,9,349,Put,197,01/15/21,06/15/20,0.00%
SPY|20210115|208.00P,208,4.87,-33.38%,2.99,3.15,3.3,0.85,+21.14%,41.69%,1,565,Put,197,01/15/21,06/24/20,0.00%
SPY|20210115|209.00P,209,4,-33.06%,3.06,3.22,3.38,-0.93,-18.86%,41.56%,1,473,Put,197,01/15/21,06/23/20,0.00%
SPY|20210115|210.00P,210,3.22,-32.74%,3.14,3.3,3.46,-0.43,-11.78%,41.17%,9,19535,Put,197,01/15/21,07/02/20,0.00%
SPY|20210115|211.00P,211,3.45,-32.42%,3.21,3.38,3.54,-1.46,-29.74%,41.53%,30,1018,Put,197,01/15/21,07/02/20,0.00%
SPY|20210115|212.00P,212,5.33,-32.10%,3.29,3.46,3.62,-0.07,-1.30%,41.15%,1,5258,Put,197,01/15/21,06/24/20,0.00%
SPY|20210115|213.00P,213,3.95,-31.78%,3.37,3.54,3.71,-0.42,-9.61%,41.03%,1,3284,Put,197,01/15/21,07/01/20,0.00%
SPY|20210115|214.00P,214,3.54,-31.46%,3.45,3.63,3.8,-0.8,-18.43%,40.64%,11,739,Put,197,01/15/21,07/02/20,0.00%
SPY|20210115|215.00P,215,3.6,-31.14%,3.54,3.71,3.88,-0.46,-11.33%,40.44%,11,9839,Put,197,01/15/21,07/02/20,0.00%
SPY|20210115|216.00P,216,6.57,-30.82%,3.62,3.8,3.97,6.57,unch,40.63%,25,1830,Put,197,01/15/21,06/15/20,0.00%
SPY|20210115|217.00P,217,6.19,-30.50%,3.71,3.89,4.06,-0.55,-8.16%,40.51%,40,1017,Put,197,01/15/21,06/24/20,0.00%
SPY|20210115|218.00P,218,3.75,-30.18%,3.8,3.98,4.16,-0.55,-12.79%,39.72%,20,1003,Put,197,01/15/21,07/02/20,0.00%
SPY|20210115|219.00P,219,5,-29.86%,3.89,4.07,4.25,-1.23,-19.74%,40.25%,1,1406,Put,197,01/15/21,06/30/20,0.00%
SPY|20210115|220.00P,220,4.47,-29.54%,3.98,4.17,4.35,-0.08,-1.76%,40.95%,551,14319,Put,197,01/15/21,07/02/20,0.00%
SPY|20210115|221.00P,221,6.73,-29.22%,4.07,4.26,4.44,-0.53,-7.30%,39.98%,43,3146,Put,197,01/15/21,06/24/20,0.00%
SPY|20210115|222.00P,222,4.25,-28.90%,4.17,4.36,4.54,-0.4,-8.60%,39.57%,3,3618,Put,197,01/15/21,07/02/20,0.00%
SPY|20210115|223.00P,223,6.85,-28.58%,4.27,4.46,4.64,-0.15,-2.14%,39.73%,9,1072,Put,197,01/15/21,06/26/20,0.00%
SPY|20210115|224.00P,224,4.29,-28.26%,4.37,4.56,4.74,-2.82,-39.66%,38.90%,4,1674,Put,197,01/15/21,07/02/20,0.00%
SPY|20210115|225.00P,225,4.8,-27.94%,4.47,4.66,4.85,-0.15,-3.03%,39.83%,86,14795,Put,197,01/15/21,07/02/20,0.00%
SPY|20210115|226.00P,226,5.14,-27.62%,4.57,4.77,4.96,-1.64,-24.19%,39.34%,2,2531,Put,197,01/15/21,07/01/20,0.00%
SPY|20210115|227.00P,227,6.67,-27.30%,4.68,4.87,5.06,0.84,+14.41%,39.21%,1,1107,Put,197,01/15/21,06/29/20,0.00%
SPY|20210115|228.00P,228,7.77,-26.98%,4.78,4.98,5.17,-0.43,-5.24%,39.07%,43,1380,Put,197,01/15/21,06/24/20,0.00%
SPY|20210115|229.00P,229,7.13,-26.66%,4.89,5.09,5.29,-0.92,-11.43%,38.95%,1,1288,Put,197,01/15/21,06/29/20,0.00%
SPY|20210115|230.00P,230,5.15,-26.34%,5,5.2,5.4,-0.51,-9.01%,38.70%,70,14256,Put,197,01/15/21,07/02/20,0.00%
SPY|20210115|231.00P,231,5.25,-26.02%,5.12,5.32,5.52,-2.3,-30.46%,38.54%,1,1372,Put,197,01/15/21,07/02/20,0.00%
SPY|20210115|232.00P,232,8.44,-25.70%,5.23,5.43,5.63,0.08,+0.96%,38.56%,110,1626,Put,197,01/15/21,06/24/20,0.00%
SPY|20210115|233.00P,233,7.6,-25.38%,5.35,5.55,5.75,-0.89,-10.48%,38.43%,2,4739,Put,197,01/15/21,06/29/20,0.00%
SPY|20210115|234.00P,234,5.6,-25.06%,5.47,5.67,5.87,-3.28,-36.94%,38.14%,2,1960,Put,197,01/15/21,07/02/20,0.00%
SPY|20210115|235.00P,235,5.63,-24.73%,5.59,5.8,6,-0.48,-7.86%,37.81%,6,14484,Put,197,01/15/21,07/02/20,0.00%
SPY|20210115|236.00P,236,6.64,-24.41%,5.71,5.92,6.12,-0.18,-2.64%,38.04%,10,2146,Put,197,01/15/21,07/01/20,0.00%
SPY|20210115|237.00P,237,8.83,-24.09%,5.84,6.05,6.25,0.83,+10.38%,37.91%,148,3689,Put,197,01/15/21,06/24/20,0.00%
SPY|20210115|238.00P,238,8.92,-23.77%,5.96,6.17,6.38,1.52,+20.54%,37.78%,141,2577,Put,197,01/15/21,06/24/20,0.00%
